"bookid","testamentid","name"
1,1,"Genesis"
2,1,"Exodus"
3,1,"Leviticus"
4,1,"Numbers"
5,1,"Deuteronomy"
6,1,"Joshua"
7,1,"Judges"
8,1,"Ruth"
9,1,"1 Samuel"
10,1,"2 Samuel"
11,1,"1 Kings"
12,1,"2 Kings"
13,1,"1 Chronicles"
14,1,"2 Chronicles"
15,1,"Ezra"
16,1,"Nehemiah"
17,1,"Esther"
18,1,"Job"
19,1,"Psalms"
20,1,"Proverbs"
21,1,"Ecclesiastes"
22,1,"Song of Songs"
23,1,"Isaiah"
24,1,"Jeremiah"
25,1,"Lamentations"
26,1,"Ezekiel"
27,1,"Daniel"
28,1,"Hosea"
29,1,"Joel"
30,1,"Amos"
31,1,"Obadiah"
32,1,"Jonah"
33,1,"Micah"
34,1,"Nahum"
35,1,"Habakkuk"
36,1,"Zephaniah"
37,1,"Haggai"
38,1,"Zechariah"
39,1,"Malachi"
40,2,"Matthew"
41,2,"Mark"
42,2,"Luke"
43,2,"John"
44,2,"Acts"
45,2,"Romans"
46,2,"1 Corinthians"
47,2,"2 Corinthians"
48,2,"Galatians"
49,2,"Ephesians"
50,2,"Philippians"
51,2,"Colossians"
52,2,"1 Thessalonians"
53,2,"2 Thessalonians"
54,2,"1 Timothy"
55,2,"2 Timothy"
56,2,"Titus"
57,2,"Philemon"
58,2,"Hebrews"
59,2,"James"
60,2,"1 Peter"
61,2,"2 Peter"
62,2,"1 John"
63,2,"2 John"
64,2,"3 John"
65,2,"Jude"
66,2,"Revelation"
